Fecha,Latencia (ms),Estado
2025-06-16 21:42:23,257,BAD
2025-06-16 21:42:24,557,BAD
2025-06-16 21:42:27,6,OK
2025-06-16 21:42:29,1011,BAD
2025-06-16 21:42:32,501,BAD
2025-06-16 21:42:34,926,BAD
2025-06-16 21:42:36,62,OK
2025-06-16 21:42:38,88,OK
2025-06-16 21:42:40,449,BAD
2025-06-16 21:42:42,5,OK
2025-06-16 21:42:45,404,BAD
2025-06-16 21:42:47,246,BAD
2025-06-16 21:42:51,3,OK
2025-06-16 21:42:55,345,BAD
2025-06-16 21:42:57,58,OK
2025-06-16 21:43:00,395,BAD
2025-06-16 21:43:04,122,WARN
2025-06-16 21:44:04,131,WARN
2025-06-16 21:44:05,160,WARN
2025-06-16 21:44:08,7,OK
2025-06-16 21:44:09,13,OK
2025-06-16 21:44:12,18,OK
2025-06-16 21:44:13,20,OK
2025-06-16 21:44:16,16,OK
2025-06-16 21:44:17,21,OK
2025-06-16 21:44:20,20,OK
2025-06-16 21:44:22,1030,BAD
2025-06-16 21:44:24,20,OK
2025-06-16 21:44:27,277,BAD
2025-06-16 21:44:28,10,OK
2025-06-16 21:44:31,768,BAD
2025-06-16 21:44:32,16,OK
2025-06-16 21:47:53,59,Baja Latencia
2025-06-16 21:47:54,615,Latencia Alta
2025-06-16 21:47:57,89,Baja Latencia
2025-06-16 21:47:59,71,Baja Latencia
2025-06-16 21:48:01,157,Latencia Moderada
2025-06-16 21:48:03,5,Baja Latencia
2025-06-16 21:48:06,121,Latencia Moderada
2025-06-16 21:48:07,5,Baja Latencia
2025-06-16 21:48:10,841,Latencia Alta
2025-06-16 21:48:11,284,Latencia Alta
2025-06-16 21:48:15,180,Latencia Moderada
2025-06-16 21:48:16,556,Latencia Alta
2025-06-16 21:48:19,11,Baja Latencia
2025-06-16 21:48:20,182,Latencia Moderada
2025-06-16 21:48:23,13,Baja Latencia
2025-06-16 21:48:24,340,Latencia Alta
2025-06-16 21:48:28,857,Latencia Alta
2025-06-16 21:48:29,670,Latencia Alta
2025-06-16 21:48:32,121,Latencia Moderada
2025-06-16 21:48:34,894,Latencia Alta
2025-06-16 21:48:36,4,Baja Latencia
2025-06-16 21:48:38,93,Baja Latencia
2025-06-16 21:48:41,1033,Latencia Alta
2025-06-16 21:48:43,1012,Latencia Alta
2025-06-16 21:48:45,335,Latencia Alta
2025-06-16 21:48:48,1048,Latencia Alta
2025-06-16 21:48:49,26,Baja Latencia
2025-06-16 21:48:52,252,Latencia Alta
2025-06-16 21:48:53,73,Baja Latencia
2025-06-16 21:48:57,382,Latencia Alta
2025-06-16 21:48:58,594,Latencia Alta
2025-06-16 21:49:01,289,Latencia Alta
2025-06-16 21:49:03,839,Latencia Alta
2025-06-16 21:49:06,901,Latencia Alta
2025-06-16 21:49:07,159,Latencia Moderada
2025-06-16 21:49:10,47,Baja Latencia
2025-06-16 21:49:11,18,Baja Latencia
2025-06-16 21:49:15,427,Latencia Alta
2025-06-16 21:49:16,607,Latencia Alta
2025-06-16 21:49:19,663,Latencia Alta
2025-06-16 21:49:20,406,Latencia Alta
2025-06-16 21:49:24,645,Latencia Alta
2025-06-16 21:49:28,386,Latencia Alta
2025-06-16 21:49:32,275,Latencia Alta
2025-06-16 21:49:33,997,Latencia Alta
2025-06-16 21:49:37,631,Latencia Alta
2025-06-16 21:49:39,1012,Latencia Alta
2025-06-16 21:49:42,397,Latencia Alta
2025-06-16 21:49:43,186,Latencia Moderada
2025-06-16 21:49:47,1003,Latencia Alta
2025-06-16 21:49:48,828,Latencia Alta
2025-06-16 21:49:52,1011,Latencia Alta
2025-06-16 21:49:52,3,Baja Latencia
2025-06-16 21:49:55,196,Latencia Moderada
2025-06-16 21:49:56,8,Baja Latencia
2025-06-16 21:50:00,2,Baja Latencia
2025-06-16 21:50:00,216,Latencia Alta
2025-06-16 21:50:04,16,Baja Latencia
2025-06-16 21:50:04,16,Baja Latencia
2025-06-16 21:50:08,301,Latencia Alta
2025-06-16 21:50:08,299,Latencia Alta
2025-06-16 21:50:13,713,Latencia Alta
2025-06-16 21:50:13,710,Latencia Alta
2025-06-16 21:50:17,6,Baja Latencia
2025-06-16 21:50:17,6,Baja Latencia
2025-06-16 21:50:22,928,Latencia Alta
2025-06-16 21:50:26,94,Baja Latencia
2025-06-16 21:50:26,94,Baja Latencia
2025-06-16 21:50:30,157,Latencia Moderada
2025-06-16 21:50:30,156,Latencia Moderada
2025-06-16 21:50:34,147,Latencia Moderada
2025-06-16 21:50:34,150,Latencia Moderada
2025-06-16 21:50:38,32,Baja Latencia
2025-06-16 21:50:43,276,Latencia Alta
2025-06-16 21:50:43,276,Latencia Alta
2025-06-16 21:50:47,147,Latencia Moderada
2025-06-16 21:50:47,148,Latencia Moderada
2025-06-16 21:50:51,279,Latencia Alta
2025-06-16 21:50:55,223,Latencia Alta
2025-06-16 21:51:00,66,Baja Latencia
2025-06-16 21:51:00,168,Latencia Moderada
2025-06-16 21:51:04,627,Latencia Alta
2025-06-16 21:51:09,223,Latencia Alta
2025-06-16 21:51:13,752,Latencia Alta
2025-06-16 21:51:13,753,Latencia Alta
2025-06-16 21:51:18,184,Latencia Moderada
2025-06-16 21:51:22,163,Latencia Moderada
2025-06-16 21:51:22,166,Latencia Moderada
2025-06-16 21:51:26,423,Latencia Alta
2025-06-16 21:51:31,179,Latencia Moderada
2025-06-16 21:51:31,178,Latencia Moderada
2025-06-16 21:51:35,49,Baja Latencia
2025-06-16 21:51:40,793,Latencia Alta
2025-06-16 21:51:44,206,Latencia Alta
2025-06-16 21:51:44,85,Baja Latencia
2025-06-16 21:51:48,153,Latencia Moderada
2025-06-16 21:51:49,894,Latencia Alta
2025-06-16 21:51:53,5,Baja Latencia
2025-06-16 21:51:53,866,Latencia Alta
2025-06-16 21:51:56,403,Latencia Alta
2025-06-16 21:51:57,129,Latencia Moderada
2025-06-16 21:52:00,298,Latencia Alta
2025-06-16 21:52:01,6,Baja Latencia
2025-06-16 21:52:05,437,Latencia Alta
2025-06-16 21:52:05,14,Baja Latencia
2025-06-16 21:52:09,289,Latencia Alta
2025-06-16 21:52:10,1006,Latencia Alta
